Date,Close,Search_Interest,Return_1d,Close_lag_1,Close_lag_3,Close_lag_5,MA_5,MA_10,Trend_lag_1,Trend_lag_3
2025-06-18,322.04998779296875,18.0,0.0180179597897272,316.3500061035156,325.3099975585937,326.42999267578125,322.38999633789064,315.28899841308595,18.0,29.0
2025-06-20,322.1600036621094,18.0,0.0003416111576173275,322.04998779296875,329.1300048828125,319.1099853515625,323.0,319.0349975585938,18.0,18.0
2025-06-23,348.67999267578125,23.0,0.0823193093872907,322.1600036621094,316.3500061035156,325.3099975585937,327.6739990234375,324.3889953613281,18.0,18.0
2025-06-24,340.4700012207031,23.0,-0.023545920693855638,348.67999267578125,322.04998779296875,329.1300048828125,329.94199829101564,327.5779968261719,23.0,18.0
2025-06-25,327.54998779296875,23.0,-0.037947582404945,340.4700012207031,322.1600036621094,316.3500061035156,332.18199462890624,327.7239959716797,23.0,18.0
2025-06-26,325.7799987792969,23.0,-0.0054037218123500486,327.54998779296875,348.67999267578125,322.04998779296875,332.92799682617186,327.65899658203125,23.0,23.0
2025-06-27,323.6300048828125,23.0,-0.006599526995335614,325.7799987792969,340.4700012207031,322.1600036621094,333.2219970703125,328.1109985351562,23.0,23.0
2025-06-30,317.6600036621094,21.0,-0.018446995428822777,323.6300048828125,327.54998779296875,348.67999267578125,327.01799926757815,327.3459991455078,23.0,23.0
2025-07-01,300.7099914550781,21.0,-0.05335897504131726,317.6600036621094,325.7799987792969,340.4700012207031,319.0659973144531,324.5039978027344,21.0,23.0
2025-07-02,315.6499938964844,21.0,0.04968242780731846,300.7099914550781,323.6300048828125,327.54998779296875,316.6859985351563,324.4339965820312,21.0,23.0
2025-07-03,315.3500061035156,21.0,-0.0009503811144286889,315.6499938964844,317.6600036621094,325.7799987792969,314.6,323.7639984130859,21.0,21.0
2025-07-07,293.94000244140625,24.0,-0.06789282780315342,315.3500061035156,300.7099914550781,323.6300048828125,308.66199951171876,320.94199829101564,21.0,21.0
2025-07-08,297.8099975585937,24.0,0.013165935514200422,293.94000244140625,315.6499938964844,317.6600036621094,304.69199829101564,315.85499877929686,24.0,21.0
2025-07-09,295.8800048828125,24.0,-0.0064806174796112614,297.8099975585937,315.3500061035156,300.7099914550781,303.7260009765625,311.3959991455078,24.0,21.0
2025-07-10,309.8699951171875,24.0,0.0472826483827995,295.8800048828125,293.94000244140625,315.6499938964844,302.57000122070315,309.6279998779297,24.0,24.0
2025-07-11,313.510009765625,24.0,0.01174690904506881,309.8699951171875,297.8099975585937,315.3500061035156,302.202001953125,308.4010009765625,24.0,24.0
2025-07-14,316.8999938964844,18.0,0.010813001260769006,313.510009765625,295.8800048828125,293.94000244140625,306.79400024414065,307.7279998779297,24.0,24.0
2025-07-15,310.7799987792969,18.0,-0.01931207079538977,316.8999938964844,309.8699951171875,297.8099975585937,309.38800048828125,307.0399993896484,18.0,24.0
2025-07-16,321.6700134277344,18.0,0.03504091219258654,310.7799987792969,313.510009765625,295.8800048828125,314.54600219726564,309.13600158691406,18.0,24.0
2025-07-17,319.4100036621094,18.0,-0.007025863995037018,321.6700134277344,316.8999938964844,309.8699951171875,316.45400390625,309.5120025634766,18.0,18.0
2025-07-18,329.6499938964844,18.0,0.03205907804067243,319.4100036621094,310.7799987792969,313.510009765625,319.6820007324219,310.94200134277344,18.0,18.0
2025-07-21,328.489990234375,24.0,-0.0035188948387289143,329.6499938964844,321.6700134277344,316.8999938964844,322.0,314.3970001220703,18.0,18.0
2025-07-22,332.1099853515625,24.0,0.0110201078413521,328.489990234375,319.4100036621094,310.7799987792969,326.2659973144531,317.8269989013672,24.0,18.0
2025-07-23,332.5599975585937,24.0,0.0013550095657461902,332.1099853515625,329.6499938964844,321.6700134277344,328.44399414062497,321.49499816894524,24.0,18.0
